user_input,retrieved_contexts,response,reference,context_recall,faithfulness,factual_correctness(mode=f1)
Who developed the polio vaccine?,"['Jonas Salk developed the first successful polio vaccine, which has saved millions of lives worldwide.']",Jonas Salk developed the first successful polio vaccine.,"Jonas Salk developed the first successful polio vaccine, which has saved millions of lives worldwide.",1.0,1.0,0.67
What is the significance of the double helix model in biology?,"['The double helix model of DNA, proposed by James Watson and Francis Crick, revealed the structure of genetic material and revolutionized molecular biology.']","The significance of the double helix model in biology lies in its revelation of the structure of genetic material. Proposed by James Watson and Francis Crick, this model revolutionized molecular biology by providing a clear understanding of how genetic information is stored and transferred in living organisms.","The double helix model of DNA, proposed by Watson and Crick, revealed the structure of genetic material and revolutionized molecular biology.",1.0,0.6,0.86
Who is known as the father of modern chemistry?,['Antoine Lavoisier is considered the father of modern chemistry for establishing the law of conservation of mass and helping to systematize chemical nomenclature.'],Antoine Lavoisier is known as the father of modern chemistry.,Antoine Lavoisier is considered the father of modern chemistry for establishing the law of conservation of mass and helping to systematize chemical nomenclature.,1.0,1.0,0.5
What did Galileo Galilei discover with his telescope?,"['Galileo Galilei used his telescope to observe celestial bodies, discovering the moons of Jupiter, the phases of Venus, and supporting the heliocentric theory.']","Galileo Galilei discovered the moons of Jupiter and the phases of Venus with his telescope, which supported the heliocentric theory.","Galileo Galilei used his telescope to discover moons orbiting Jupiter, phases of Venus, and detailed observations of the Moon, supporting the heliocentric model.",0.75,1.0,0.86
Who formulated the uncertainty principle in quantum mechanics?,"['Werner Heisenberg formulated the uncertainty principle, a fundamental concept in quantum mechanics stating that certain pairs of physical properties cannot be known simultaneously.']",Werner Heisenberg formulated the uncertainty principle in quantum mechanics.,"Werner Heisenberg formulated the uncertainty principle, stating that the position and momentum of a particle cannot both be precisely known at the same time.",0.5,1.0,0.8
What is the significance of the periodic table?,"['The periodic table organizes all known chemical elements in a systematic way based on atomic number and properties, enabling prediction of element behavior.']","The significance of the periodic table lies in its organization of all known chemical elements based on atomic number and properties. This systematic arrangement enables the prediction of element behavior, aiding in the understanding and study of chemistry.","The periodic table organizes chemical elements by their atomic number and properties, allowing scientists to predict the behavior of elements.",1.0,0.6666666666666666,0.8
Who invented the World Wide Web?,"['Tim Berners-Lee invented the World Wide Web in 1989, allowing people to access and share information globally using hyperlinks and web browsers.']",Tim Berners-Lee invented the World Wide Web in 1989.,"Tim Berners-Lee invented the World Wide Web, enabling information sharing over the internet through hyperlinks and web browsers.",1.0,1.0,0.33
What was Nikola Tesla known for?,"['Nikola Tesla made pioneering contributions to the development of alternating current (AC), wireless transmission, and electromagnetic devices.']","Nikola Tesla was known for his pioneering contributions to the development of alternating current (AC), wireless transmission, and electromagnetic devices.","Nikola Tesla was known for his work on alternating current (AC), wireless communication, and numerous other groundbreaking innovations.",1.0,1.0,0.67
Who discovered penicillin?,"['Alexander Fleming discovered penicillin in 1928, marking the beginning of modern antibiotics and revolutionizing treatment of bacterial infections.']",Alexander Fleming discovered penicillin in 1928.,"Alexander Fleming discovered penicillin, the world’s first true antibiotic, which revolutionized medicine and saved countless lives.",1.0,1.0,0.33
What is Schrödinger's cat thought experiment?,"[""Schrödinger's cat is a famous thought experiment that illustrates the concept of quantum superposition, where a cat in a box can be simultaneously alive and dead until observed.""]","Schrödinger's cat is a famous thought experiment that illustrates the concept of quantum superposition. In this thought experiment, a cat inside a box can be simultaneously alive and dead until it is observed.","Schrödinger's cat is a thought experiment that illustrates the paradox of quantum superposition, showing how a cat can be both alive and dead until observed.",1.0,1.0,1.0
